"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS3"
9751;617418;6155253;197109;0,411
9751;617418;6155253;197110;0,588
9751;617418;6155253;197111;0,758
9751;617418;6155253;197112;0,927
9751;617418;6155253;197201;1,026
9751;617418;6155253;197202;1,21
9751;617418;6155253;197203;1,272
9751;617418;6155253;197204;1,221
9751;617418;6155253;197205;1,114
9751;617418;6155253;197206;0,997
9751;617418;6155253;197207;0,887
9751;617418;6155253;197208;0,766
9751;617418;6155253;197209;0,671
9751;617418;6155253;197210;0,633
9751;617418;6155253;197211;0,689
9751;617418;6155253;197212;0,728
9751;617418;6155253;197301;0,815
9751;617418;6155253;197302;0,842
9751;617418;6155253;197303;0,909
9751;617418;6155253;197304;0,904
9751;617418;6155253;197305;0,791
9751;617418;6155253;197306;0,598
9751;617418;6155253;197307;0,408
9751;617418;6155253;197308;0,295
9751;617418;6155253;197309;0,243
9751;617418;6155253;197310;0,243
9751;617418;6155253;197311;0,247
9751;617418;6155253;197312;0,315
9751;617418;6155253;197401;0,588
9751;617418;6155253;197402;0,899
9751;617418;6155253;197403;1,167
9751;617418;6155253;197404;1,198
9751;617418;6155253;197405;1,079
9751;617418;6155253;197406;0,856
9751;617418;6155253;197407;0,586
9751;617418;6155253;197408;0,44
9751;617418;6155253;197409;0,466
9751;617418;6155253;197410;0,576
9751;617418;6155253;197411;0,765
9751;617418;6155253;197412;0,88
9751;617418;6155253;197501;0,973
9751;617418;6155253;197502;1,008
9751;617418;6155253;197503;1,018
9751;617418;6155253;197504;1,052
9751;617418;6155253;197505;0,962
9751;617418;6155253;197506;0,837
9751;617418;6155253;197507;0,584
9751;617418;6155253;197508;0,51
9751;617418;6155253;197509;0,557
9751;617418;6155253;197510;0,65
9751;617418;6155253;197511;0,646
9751;617418;6155253;197512;0,617
9751;617418;6155253;197601;0,641
9751;617418;6155253;197602;0,729
9751;617418;6155253;197603;0,758
9751;617418;6155253;197604;0,803
9751;617418;6155253;197605;0,754
9751;617418;6155253;197606;0,603
9751;617418;6155253;197607;0,422
9751;617418;6155253;197608;0,309
9751;617418;6155253;197609;0,332
9751;617418;6155253;197610;0,433
9751;617418;6155253;197611;0,613
9751;617418;6155253;197612;0,842
9751;617418;6155253;197701;1,079
9751;617418;6155253;197702;1,167
9751;617418;6155253;197703;1,111
9751;617418;6155253;197704;0,988
9751;617418;6155253;197705;0,997
9751;617418;6155253;197706;0,97
9751;617418;6155253;197707;0,842
9751;617418;6155253;197708;0,62
9751;617418;6155253;197709;0,443
9751;617418;6155253;197710;0,447
9751;617418;6155253;197711;0,528
9751;617418;6155253;197712;0,733
9751;617418;6155253;197801;0,872
9751;617418;6155253;197802;1,026
9751;617418;6155253;197803;1,17
9751;617418;6155253;197804;1,248
9751;617418;6155253;197805;1,204
9751;617418;6155253;197806;0,988
9751;617418;6155253;197807;0,744
9751;617418;6155253;197808;0,483
9751;617418;6155253;197809;0,335
9751;617418;6155253;197810;0,257
9751;617418;6155253;197811;0,242
9751;617418;6155253;197812;0,275
9751;617418;6155253;197901;0,482
9751;617418;6155253;197902;0,862
9751;617418;6155253;197903;1,119
9751;617418;6155253;197904;1,217
9751;617418;6155253;197905;1,068
9751;617418;6155253;197906;0,93
9751;617418;6155253;197907;0,687
9751;617418;6155253;197908;0,503
9751;617418;6155253;197909;0,374
9751;617418;6155253;197910;0,426
9751;617418;6155253;197911;0,576
9751;617418;6155253;197912;0,708
9751;617418;6155253;198001;0,793
9751;617418;6155253;198002;0,886
9751;617418;6155253;198003;0,996
9751;617418;6155253;198004;1,035
9751;617418;6155253;198005;0,961
9751;617418;6155253;198006;0,866
9751;617418;6155253;198007;0,685
9751;617418;6155253;198008;0,499
9751;617418;6155253;198009;0,361
9751;617418;6155253;198010;0,375
9751;617418;6155253;198011;0,48
9751;617418;6155253;198012;0,588
9751;617418;6155253;198101;0,698
9751;617418;6155253;198102;0,801
9751;617418;6155253;198103;1,021
